"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","250","FRA","France","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Beginning 1996: data include trade flows of the overseas departments ( Fr.Guiana Guadeloupe Martinique and Reunion)"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Exclude military goods, fissionable materials, bunkers."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","736","SDN","Sudan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 95: fiscal year ending June 30. Thereafter calendar year. Beginning July 2011: Sudan's territory exclude South Sudan."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","276","DEU","Germany","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","-","-","-","-","USM","Million US dollar","Coverage","1980: Germany Fed Rep . 1990: sum of Germany Fed Rep and GDR"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","276","DEU","Germany","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Coverage","1980: Germany Fed Rep . 1990: sum of Germany Fed Rep and GDR"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","818","EGY","Egypt","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Coverage","2008 onwards: general trade system"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","818","EGY","Egypt","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Coverage","2008 onwards: general trade system"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","222","SLV","El Salvador","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 1992 series exclude processing zone trade"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","292","GIB","Gibraltar","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Petroleum products are excluded"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","682","SAU","Saudi Arabia, Kingdom of","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Defense imports are excluded."
